地理,Geography,国名,Country name,フィリピン共和国,Republic of the Philippines
地理,Geography,面積,Area,"299,404平方キロメートル","299,404 square kilometer"
地理,Geography,人口,Population,約1億98万人（2015年）,101 million persons（2015年）
地理,Geography,首都,Capital,メトロ・マニラ,Metro Manila
生活,Life,公用語,Official language,フィリピン語及び英語,Filipino and English
生活,Life,民族構成,Ethnic Composition,マレー系95％、他5％,Malay：95％、Others：5％
生活,Life,宗教,Religion,カトリック83％、その他のキリスト教10％,Catholic：83％、Others of Christianity：10％
生活,Life,通貨,Currency,Php（フィリピン・ペソ）,Php（Philippine peso）
生活,Life,電圧,Voltage,220V、60Hz,220V、60Hz
生活,Life,プラグ,Plug,"A型、B3型、C型
日本製の電化製品を使用する際は、変換プラグと変圧器が必要な場合あり",Type A、Type B3、Type C
フライト,Flight,飛行時間,Flight Time,直行便：4～6時間,-
フライト,Flight,現地時刻,Local Time,マイナス1時間（サマータイム設定なし）,-
経済,Economy,GDP,GDP,"3,309億米ドル（2018年）",$ 331 billion（2018）
経済,Economy,一人当たりGDP,GDP/person,"3,104米ドル（2018年）",$ 310 million（2018）
経済,Economy,経済成長率,Economic Growth Rate,6.2%（2018年）,6.2%（2018）
経済,Economy,物価上昇率,Price Increase Rate,5.2%（2018年）,5.2%（2018）
経済,Economy,失業率,Unemployment Rate,5.3%（2018年）,5.3%（2018）
政治,Politics,政体,Polity,立憲共和制,Constitutional republic
政治,Politics,元首,Head of state,Rodrigo Roa Duterte（ロドリゴ・ドゥテルテ）大統領,President Rodrigo Roa Duterte
政治,Politics,議会,Parliament,上・下二院制,Upper and lower bicameral system
