ハウスオブレチョン,House of Lechon,フィリピン,Filipino,セブで最も人気があるレチョン料理店の一つ。店内は清潔感があり、いつも観光客で賑わっています。さっぱりとしていて、日本人でも美味しく食べられる味付け。他のフィリピン料理も堪能できます。現在3店舗あります。,,なし,None,[月～日]10:00～22:00,[Mon～Sun]10:00～22:00,,,セブ市内,Cebu city,"Acacia Street, Cebu City 6000, Philippines",https://goo.gl/maps/zfKPRHcxLfU8SH2dA,https://www.facebook.com/HouseOfLechonCebu/
ランタウ・フローティング・ネイティブ・レストラン,Lantaw Floating Native Restaurant,フィリピン,Filipino,"地元民にも人気の水上に浮かぶレストラン。夕方に行くとセブ本島の山々に沈むサンセットが見られる。
帰りのタクシーが取りにくい場所なので、食べている間は待ってもらいましょう。",,なし,None,[月～日]11:00?23:00,[Mon～Sun]11:00?23:00,,,コルドバ,Cordova,"Day-as Barangay Road, Cordova, Cebu, Philippines",https://goo.gl/maps/zNVf93fuk5uqHmh4A,https://www.facebook.com/LantawFloatingNativeRestaurant?utm_source=tripadvisor&utm_medium=referral
ズブチョン,Zubuchon,フィリピン,Filipino,"レチョンを観光客でも手軽に食べることができるレストラン。焼き上がりの見た目を良くするための着色料（醤油）や化学調味料を使用していない。数多くの店舗あり。
",,なし,None,[月～日]10:00～23:00,[Mon～Sun]10:00～23:00,,,セブ市内,Cebu city,"Escario Central, N Escario St, Cebu City, 6000 Cebu, Philippines",https://goo.gl/maps/gwnELDPYtsYnF2rp9,https://zubuchon.com/our-story/
ジョリビー,Jollibee,ハンバーガー,Hamburger,フィリピンに来たら１度は寄るべきお店。マクドナルドが世界で唯一シェア１位を取れないフィリピン最大のチェーン店。ハンバーガーも美味しいですが、有名なのはフライドチキン。,,-,-,-,-,,,複数・全土,Multiple,-,-,https://www.jollibee.com.ph/
アクア,Acqua,イタリアン,Italian,五つ星ホテルの「シャングリ・ラ　マクタン　リゾート＆スパ」の中にあるイタリアンレストラン。落ち着いた雰囲気で、くつろぎながら美味しい料理を楽しめます。,,なし,None,[月～日]6:00-10:30(季節限定)、12:00-14:30、18:00-22:00,[Mon～Sun]6:00-10:30(Seasonal)、12:00-14:30、18:00-22:00,,,ラプラプ,Lapu-Lapu,"Shangri-la Mactan Resort&Spa Punta Engano Road, Lapu-Lapu, Cebu, 6015 Philippines",https://goo.gl/maps/YXWz1L2eQAHS6bS77,http://www.shangri-la.com/jp/cebu/mactanresort/dining/restaurants/acqua/
アバカレストラン,Abaca Restaurant,地中海,Mediterranean,五つ星ホテルの「アバカリゾートホテル」内にある高級レストラン。高級感あふれる内装に、海の見えるテラス席あり。席が取れないこともあるので、事前に予約してから行きましょう。,,なし,None,[月～日]11:00～22:30,[Mon～Sun]11:00～22:30,,,ラプラプ,Lapu-lapu,"Punta Engano Road, Abaca Resort, Lapu Lapu, Philippines",https://goo.gl/maps/RjuFBQXr2YEb1k457,http://www.abacaresort.com/?utm_source=tripadvisor&utm_medium=referral
アンザニ,Anzani,イタリアン,Italian,セブシティの丘の上にある高級イタリアンレストラン。テラス席があり、ワインの種類が豊富。丘の上で蚊が多いので、虫除け対策は十分にして行きましょう。,,なし,None,[月～日]11:30～14:30、17:30～24:00,[Mon～Sun]11:30～14:30、17:30～24:00,,,セブ市内,Cebu city,"Lahug Nivel Hills | Lahug, Cebu City 6000, Philippines",https://g.page/anzani-cebu-city?share,http://www.anzani.com.ph/anzani-restaurant/
イビザ・ビーチ・クラブ,Ibiza Beach Club,地中海,Mediterranean,「モーベンピックホテル」内の海上にあるレストラン。美しいパノラマオーシャンビューを楽しめます。シュラスコが人気で、20時ごろから日替わりでパフォーマンスが開催されています。,,なし,None,[月～木]16:00～24:00、[金～日]15:00～26:00,[Mon～Thu]16:00～24:00、[Fri～Sun]15:00～26:00,,,ラプラプ,Lapu-lapu,"Punta Enga?o, Mactan Island,Lapu-Lapu CityCebu",https://g.page/ibizacebu?share,https://www.movenpick.com/en/asia/philippines/cebu/hotel-mactan-island-cebu/restaurants/restaurants/ibiza/
カフェ マルコ,Cafe Marco, 多国籍,Fusion,マルコポーロプラザにあるセブの中でも最も人気の高いビュッフェの1つ。朝食、ランチ、ディナーとすべての時間帯でビュッフェを提供。,,なし,None,[月～日]6:00～10:30、12:00～14:30、18:30～22:00,[Mon～Sun]6:00～10:30、12:00～14:30、18:30～22:00,,,セブ市内,Cebu city,"Cebu Veterans Drive, Nivel Hills, Apas, Cebu City",https://goo.gl/maps/WmBaZshXKBHhX2cb7,https://www.marcopolohotels.com/en/hotels/philippines/cebu/marco_polo_plaza/restaurants_and_bars/cafe_marco.html
アズール ビーチ クラブ,Azure Beach Club, 多国籍,Fusion,クリムゾン リゾート ＆ スパ マクタンのダイニング。,,なし,None,[月～日]10:00～26:00,[Mon～Sun]10:00～26:00,,,ラプラプ,Lapu-Lapu,"Crimson Resort and Spa, Crimson Resort & Spa, Lapu Lapu 6015, Philippines",https://g.page/AzureMactan?share,
