イングリッシュフェラ,English Fella,,,,,セブ市内,Cebu city,"Hi-Way 11, Cebu City, Cebu, Philippines",https://goo.gl/maps/7AsNTnA9y2mRoNVu9,https://englishfella.com/ja-jp
ゼットエーイングリッシュアカデミー,ZA English Academy,,,,,セブ市内,Cebu city,"President, Ramon Magsaysay Ext, Cebu City, 6000 Cebu, Philippines",https://g.page/za-english-cebu?share,https://www.za-english.com/lp1
シーアイジェーアカデミー,CIJ Academy,,,,,セブ市内,Cebu city,"Villa Aurora Tennis Court, Gen. Lim St, Cebu City, 6000 Cebu, Philippines",https://goo.gl/maps/pSBcaHxPvptSUCCeA,http://cebu-cij.com
エスエムイーエージーグローバル・エデュケーション,SMEAG Global Education,,,,,セブ市内,Cebu city,"F. Gochan St, Cebu City, Cebu, Philippines",https://goo.gl/maps/TarM34Rd5Pz89HRF7,https://smeag.jp
セブインターナショナルアカデミー ,Cebu International Academy,,,,,マンダウエ,Mandaue,"881 A. S. Fortuna St, Tipolo, Mandaue City, 6014 Cebu, Philippines",https://goo.gl/maps/SZ7vjbf3Af89oJb98,http://www.cebucia.com/jp
イデアエデュケーション,IDEA Education,,,,,マンダウエ,Mandaue,"3rdFloor, CityTime Square2, Mantawi International Drive, Mandaue City, Cebu 6014, Philippines",https://goo.gl/maps/Ap4qDau52AkJutQAA,https://jp.ideaeducation.net
キューキューイングリッシュ,QQ English,,,,,セブ市内,Cebu city,"V. Padriga St, Cebu City, Cebu, Philippines",https://goo.gl/maps/eZQgYrbSf2wfNW6P6,https://www.qqeng.com
セブ ブルーオーシャンアカデミー,CEBU Blue Ocean Academy,,,,,ラプラプ,Lapu-Lapu,"Building 5 EGI Hotel and Resort, M.L. Quezon National Highway, Maribago, Lapu-Lapu, Lalawigan ng Cebu, Philippines",https://goo.gl/maps/GRwzGD8wn6jVDE257,http://cebublueocean.com/ja
ターゲットグローバル イングリッシュアカデミー,TARGET Global English Academy,,,,,セブ市内,Cebu city,"#8 St Michael Rd, Cebu City, 6000 Cebu, Philippines",https://goo.gl/maps/srR1kVP37xV9C33K7,http://target-english.org
スリーディーアカデミー,3D ACADEMY,,,,,ラフグ,Lahug,"2F, La Nivel Hotel, JY Square, Lahug, Cebu City ,6000, Philippines",https://goo.gl/maps/y5cbspumpauGYEyu7,https://3d-universal.com
センターフォープリミアインターナショナル・ランゲージスタディ,Center for Premier International Language Studies,,,,,セブ市内,Cebu city,"M. J. Cuenco Ave, Cebu City, 6000 Cebu, Philippines",https://goo.gl/maps/ThJmfNkiVva9sizD6,https://cpils.jp
セブイングリッシュアカデミー,Cebu English Academy,,,,,セブ市内,Cebu city,"Cabahug St, NRA, Cebu City, 6000 Cebu, Philippines",https://goo.gl/maps/UzESyNYGmXsU4TFr9,http://cea.asia
スターゲートグローバルエデュケーション,STARGATE Global Education,,,,,セブ市内,Cebu city,"La Casita Bldg, Cabahug St, North Reclamation Area, Mabolo, Cebu city, CEBU 6000, Philippines",https://goo.gl/maps/kg9jrctJbKtsPvWu9,https://stargate-cebu.com
シージーアカデミー,CG Academy,,,,,タリセイ,Talisay,"1951-A-1 Uldog Street, Talisay, Cebu, Philippines",https://goo.gl/maps/J2wgNN5B1QZjbMon9,http://www.cgeslcenter.com/jp
ジーニアスイングリッシュプロフィッシェンシーアカデミー,Genius English Proficiency Academy,,,,,ラプラプ,Lapu-Lapu,"EGI Hotel Building 1, Looc, Maribago, Lapu-Lapu City, 6015 Cebu, Philippines",https://goo.gl/maps/qdeZRXSSAYvkgQSr7,https://genius-english.jp
シーディーユーイーエスエルセンター,CDU ESL Center,,,,,マンダウエ,Mandaue,"Lazazabal St, Subangdaku, Mandaue City, 6014 Cebu, Philippines",https://goo.gl/maps/XKE7kcxztDVcN8Ub9,https://cduesl.jp
ファーストイングリッシュグローバルカレッジ,First English Global College,,,,,ラプラプ,Lapu-Lapu,"Lot2 Block 35, Vista Mar Subdivision Gate 2, Dapdap, Lapu-lapu City, Cebu, 6015 Philippines",https://goo.gl/maps/mkaWyxxkHnHRHr718,https://www.firstcebu.com
ニルス,NILS,,,,,セブ市内,Cebu city,"Unit 714 TGU Tower,Jose Maria del Mar St., Asiatown, IT Park, Sudlon, Apas, Cebu City, 6000 Cebu, Philippines",https://goo.gl/maps/CMh49PkCRpgSPssE8,https://www.nilsph.com
