サン・ペトロ要塞,Fort San Pedro,建物・遺跡,building/remains,スペイン統治時代に建築されたフィリピン最古かつ最小の三角形の稜堡式要塞です。当初は木造でしたが、1738年までにムスリム勢力からの攻撃に対抗するために石造りになりました。19世紀後半には、要塞はフィリピン人の反乱に対する拠点として機能しました。,NULL,なし,None,[月～日] 8:00～19:00,[Mon～Sun] 8:00～19:00,大人： P30、学生・子ども： P20,NULL,セブ市内,Cebu city,"Antonio Pigafetta Street, Cebu City, 6000 Cebu, Philippines",https://web.archive.org/web/20080819190834/http://www.philtourism.gov.ph/spl_places_fortsp.html,sample1.jpg,sample2.jpg,sample3.jpg,sample4.jpg,17:48.0,17:48.0,https://goo.gl/maps/DUwCja8adPoqv4HH9
カワサン滝,Kawasan Falls,自然,nature,エメラルドグリーンのセブ最大の滝壺です。三層に分かれた滝があり、川での飛び込みや、ボートに乗るアクティビティ、周辺のジャングル散策などを楽しめる。 ,NULL,なし,None,[月～日]0:00～24:00,[Mon～Sun]0:00～24:00,"旅行者 : P45
イカダ貸出：P300",NULL,バディアン,Badian,"Matutinao, Badian, 6031 Cebu, Philippines",https://www.kawasanfalls.net,ka_sample1.jpg,ka_sample2.jpg,ka_sample3.jpg,NULL,46:07.0,46:07.0,https://goo.gl/maps/W5sivvTXB9Wz7uQc8
ラプラプ像,Lapu-Lapu Monument,建物・遺跡,building/remains,異国（マゼラン軍）の侵攻に立ち向かったフィリピンの民族的英雄のラプラプの記念像です。,NULL,なし,None,[月～日]0:00～24:00,[Mon～Sun]0:00～24:00,無料,Free,ラプラプ,Lapu-Lapu,"Punta Engano Rd, Lapu-Lapu City, 6015 Cebu, Philippines",NULL,NULL,NULL,NULL,NULL,38:51.0,38:51.0,https://goo.gl/maps/o28QNzckCPjFQqLS8
マゼラン・クロス,Magellan's Cross,建物・遺跡,building/remains,キリスト教布教のためにセブ島を訪れた冒険家マゼランが、1521年に建てたといわれる木製の十字架です。保護するために、 1984年に八角堂が造られ、天井には美しい色彩で描かれたマゼランからの十字架を作る物語が描かれています。,NULL,なし,None,[月～日] 8:00～18:00,[Mon～Sun] 8:00～18:00,無料,Free,セブ市内,Cebu city,"P. Burgos St, Cebu City, Cebu, Philippines",NULL,NULL,NULL,NULL,NULL,41:20.0,41:20.0,https://goo.gl/maps/1FPyvuFysaaYnutQA
マゼラン記念碑,Magellan's Marker,建物・遺跡,building/remains,キリスト教の布教活動を行い大きな成果を上げたフィリピンに最初に上陸したヨーロッパ人冒険家マゼランの記念碑です。フィリピンにおいてカトリック教徒の普及はマゼランのおかげである一方で、植民地開拓者として国民的英雄に倒された敵でもあり、フィリピン人が複雑な感情を表現しています。,NULL,なし,None,[月～日]7:00-22:00,[Mon～Sun]7:00-22:00,無料,Free,ラプラプ,Lapu-Lapu,"6015 Punta Engano Rd, Lapu-Lapu City, 6015 Cebu, Philippines",NULL,NULL,NULL,NULL,NULL,43:01.0,43:01.0,https://goo.gl/maps/Logd1U7BwdgyKz818
サント・ニーニョ協会,Santo Nino Church,建物・遺跡,building/remains,1565年のスペイン統治下に建てられたフィリピン最古のキリスト教の教会です。マゼランがファナ女王に贈ったサント・ニーニョ像（幼きイエス像）が納められており、この像が戦火の中でも無傷だったことからセブの守護神として崇拝されています。,NULL,なし,None,"[月～木、土]5:00～18:45
[金、日]4:00～22:00","[Mon～Thu、Sun]5:00～18:45
[Fri、Sun]4:00～22:00",無料,Free,セブ市内,Cebu city,"Osmena Boulevard, 6000 Cebu City, Philippines",https://santoninodecebubasilica.org,NULL,NULL,NULL,NULL,45:32.0,45:32.0,https://goo.gl/maps/prFkEKGVU94GW18y6
シマラ協会,Simala Church,建物・遺跡,building/remains,過去にセブ島が災いに被んだ際、この町にあった小さな教会の聖母マリア像から涙が流れたという伝説があります。フィリピン人は聖母マリア像の前でお祈りをすると願いが叶うと信じ、セブ島の各地から大勢の人が訪れる名所となっています。,NULL,なし,None,[月～日]8:00～20:00,[Mon～Sun]8:00～20:00,無料,Free,シボンガ,Sibonga,"Barangay Simala, Natalio B. Bacalso S National Hwy, Sibonga, Cebu, Philippines",NULL,NULL,NULL,NULL,NULL,47:44.0,47:44.0,https://goo.gl/maps/Gz41jCJ7JvdgUZ678
道教寺院（タオイスト・テンプル）,Taoist Temple,建物・遺跡,building/remains,セブ島に住む華僑のコミュニティによって1972年に建てられた色彩豊かな中国寺院です。高台にありセブ市内を一望することができます。,NULL,なし,None,[月～日]9:00-17:00,[Mon～Sun]9:00-17:00,無料,Free,セブ市内,Cebu city,"Beverly Hills Subdivision Lahug, Cebu City, Cebu, Philippines",https://m.facebook.com/TaoistTempleCebu,NULL,NULL,NULL,NULL,49:18.0,49:18.0,https://goo.gl/maps/pzFvU2Q6MfbEq2uv5
山頂（トップス）,Top of Cebu,自然,nature,セブ島の街中を一望できるセブ島で最も有名な展望スポットです。特に日の出や夕暮れがおすすめです。,NULL,なし,None,"[月～日]0:00～24:00
（レストラン等は別）",[Mon～Sun]0:00～24:00,1名：P100,P100/person,セブ市内,Cebu city,"Cebu Tops Rd, Cebu City, Cebu, Philippines",NULL,NULL,NULL,NULL,NULL,53:26.0,53:26.0,https://goo.gl/maps/pGQAk4Jvmvufv7dHA
ムセオ・サグボ,Museo Sugbo,博物館・美術館,museum,セブで有名な博物館です。セブ州の地方刑務所でしたが、2008年に博物館としてオープンしました。スペイン統治前の時代からフィリピン独立までを時系列に沿って知ることができます。,NULL,日,Sun,[月～土]9:00～18:00,[Mon～Sat]9:00～18:00,大人：P75、学生：P50,Adult：P75、Student：P50,セブ市内,Cebu city,"731 M. J. Cuenco Ave, Cebu City, 6000 Cebu, Philippines",https://www.facebook.com/museosugbo,NULL,NULL,NULL,NULL,56:24.0,56:24.0,https://goo.gl/maps/MPoqbf5x8X9Lc8FK8
カサ・ゴロルド博物館,Casa Gorordo Museum,博物館・美術館,museum,スペイン植民地時代に建てられた豪邸です。1863年にスペインの商人であった「Juan Isidro De Gorordo」が購入して4代にわたり生活していました。スペイン調の伝統的古家が見学できます。,,月,Mon,[火～日]10:00～18:00,[Thu～Sun]10:00～18:00,1名：70P,70P/person,セブ市内,Cebu city,"35 Eduardo Aboitiz St, Cebu City, 6000 Cebu, Philippines",https://ja-jp.facebook.com/casagorordomuseum,NULL,NULL,NULL,NULL,58:31.0,58:31.0,https://goo.gl/maps/Kg1iwtnay4UQz49x6
ヤップサンディエゴの旧邸,Yap Sandiego Ancestral House,博物館・美術館,museum,17世紀に建てられたフィリピンで最も古い歴史的邸宅の一つです。当時の中国人の家がたくさん残されているますが、この旧邸は300年以上前に建てられ、フィリピン最古の家とされています。,NULL,なし,None,[月～日]8:00～19:00,[Mon～Sun]8:00～19:00,1名：70P,70P/person,セブ市内,Cebu city,"155 Mabini St Parian, Cebu City, 6000 Cebu, Philippines",https://ja-jp.facebook.com/YapSandiegoAncestralHouse,NULL,NULL,NULL,NULL,01:16.0,01:16.0,https://goo.gl/maps/EpvQn7dQRFKeFjEF8
サン カルロス大学博物館,University of San Carlos Museum,博物館・美術館,museum,サンカルロス大学内にある博物館です。1967年に開館し、スペイン植民地時代の遺品や、それ以前の発掘品、生物標本などが展示されています。,NULL,日、祝,"Sun, Public holidays",[月～金]8:00～12:00、13:00～17:30、[土]8:00～12:00,[Mon～Fri]8:00～12:00、13:00～17:30、[Sat]8:00～12:00,1名：30P,30P/person,セブ市内,Cebu city,"Pelaez St, Cebu City, 6000 Cebu, Philippines",http://usc.edu.ph/category/section/12/academic,NULL,NULL,NULL,NULL,03:16.0,03:16.0,https://goo.gl/maps/CcgNU2qiavGo5nf76
サントニーニョ博物館,Santo Nino Museum,博物館・美術館,museum,フィリピン最古のキリスト教の教会であるサントニーニョ教会の地下にある博物館です。館内には司祭やサントニーニョが着ているガウンやアクセサリー、キャンドルや香炉、マリア像や書物等が展示されています。,NULL,水,Wed,[木～火]8:00～11:45、13:30～16:45,[Thu～Tue]8:00～11:45、13:30～16:45,大人：P30、学生、子ども：P10,Adult：P30、Student、Child：P10,セブ市内,Cebu city,"Osmena Blvd., cor. P. Burgos St., Cebu City, Philippines",https://santoninodecebubasilica.org/basilica-minore-del-santo-nino/museum,NULL,NULL,NULL,NULL,06:39.0,06:39.0,https://goo.gl/maps/Ami6SuWLb8CwxijFA
